Name,Location,Industries,Stages,Sectors
INDIBIOTEK PRIVATE LIMITED,"North 24 Parganas, West Bengal, India",Healthcare & Lifesciences,Prototype,Medical Devices Biomedical
SHRI KRISHNA CONSTRUCTION,"Moradabad, Uttar Pradesh, India",Construction,Validation,Construction & Engineering
BIPP INFRATECH PRIVATE LIMITED,"North Delhi, Delhi, India",Construction,Validation,Homebuilding
KREWSUP TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Events,Scaling,Event Management
KHETI360 AGROSERVICES PRIVATE LIMITED,"Ghazipur, Uttar Pradesh, India",Agriculture,Prototype,Agri-Tech
SKILLDOZE PRIVATE LIMITED,"Ranga Reddy, Telangana, India",Education,Prototype,Education Technology
RM TALENT PARTNERS LLP,"East Singhbhum, Jharkhand, India",Advertising,Validation,AdTech
NAVAMA ASSOCIATES PRIVATE LIMITED,"Visakhapatnam, Andhra Pradesh, India",Human Resources,EarlyTraction,Recruitment Jobs
MEIZIAL AQUA TECH (OPC) PRIVATE LIMITED,"Hyderabad, Telangana, India",Agriculture,Validation,Fisheries
ADHVX INDUSTRIES,"Chennai, Tamil Nadu, India",Internet of Things,Validation,Manufacturing & Warehouse
GREENVERSEPLUS WORKS PRIVATE LIMITED,"Banswara, Rajasthan, India",Agriculture,Prototype,Organic Agriculture
OMKRITI DESIGNERS PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",Professional & Commercial Services,Scaling,Others
SAGE ENTERPRISES,"Medchal Malkajgiri, Telangana, India",Textiles & Apparel,Prototype,Apparel & Accessories
BIXL SOLUTIONS LLP,"Bengaluru Urban, Karnataka, India",Analytics,EarlyTraction,Business Intelligence
AL-MAJAZIA CRAFTS LLP,"Budgam, Jammu and Kashmir, India",Art & Photography,EarlyTraction,Handicraft
Santo Manto  Food  And Couture Private Limited,"Damoh, Madhya Pradesh, India",Food & Beverages,EarlyTraction,Food Processing
IDYC360 PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",Enterprise Software,EarlyTraction,Others
SUAN IT SERV PRIVATE LIMITED,"Kanchipuram, Tamil Nadu, India",IT Services,Prototype,KPO
MYTHRI SMART BAZAAR PRIVATE LIMITED,"Thiruvananthapuram, Kerala, India",Retail,Validation,Retail Technology
HIMIK INDUSTRIES PRIVATE LIMITED,"South West Delhi, Delhi, India",Renewable Energy,Validation,Manufacture of Electrical Equipment
SCHIJNENN DIGITAL PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Enterprise Software,EarlyTraction,Others
KIRANA QUICK TECHNOLOGIES PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",Food & Beverages,Validation,Food Technology/Food Delivery
GENOSHI TECHNOLOGIES LLP,"Mumbai, Maharashtra, India",AI,EarlyTraction,NLP
NIMIWAL ENTERPRISES LLP,"Ghaziabad, Uttar Pradesh, India",Human Resources,EarlyTraction,Recruitment Jobs
HANS LOGISTICS,"Namakkal, Tamil Nadu, India",Logistics,Prototype,Others
STREAMSMAX TECHNOLOGIES PRIVATE LIMITED,"Pathanamthitta, Kerala, India",AI,Prototype,Machine Learning
SAVANEX PRIVATE LIMITED,"Mumbai Suburban, Maharashtra, India",Automotive,Validation,Others
PROFITLINK PARTNERS (OPC) PRIVATE LIMITED,"Faridabad, Haryana, India",Real Estate,Validation,Housing
HEDRON ARC,"Gautam Buddha Nagar, Uttar Pradesh, India",Technology Hardware,Prototype,Electronics
ONWARD COWORKX PRIVATE LIMITED,"South Eastdelhi, Delhi, India",Real Estate,Validation,Coworking Spaces
QSHOT BEVERAGE PRIVATE LIMITED,"Thane, Maharashtra, India",Food & Beverages,Validation,Food Processing
CLIMACATALYST PRIVATE LIMITED,"Mumbai, Maharashtra, India",Green Technology,Scaling,Clean Tech
EAST WASTE RECYCLERS,"Vadodara, Gujarat, India",Waste Management,Prototype,Others
3R ENVIRO INDIA PRIVATE LIMITED,"Bharuch, Gujarat, India",Waste Management,EarlyTraction,Others
RENDEREASE TECHNOVATIONS PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",AR VR (Augmented + Virtual Reality),EarlyTraction,Others
VEEAARONE CONSULTING LLP,"Gautam Buddha Nagar, Uttar Pradesh, India",IT Services,Prototype,IT Consulting
PROCURAI TECHNOLOGIES PRIVATE LIMITED,"Gurugram, Haryana, India",AI,EarlyTraction,Machine Learning
REFLECTIVEHORIZON PRIVATE LIMITED,"Thane, Maharashtra, India",Education,Validation,Coaching
RAYTEK SEMICONDUCTOR TECHNOLOGY & SERVICES PRIVATE LIMITED,"Hamirpur, Himachal Pradesh, India",Technology Hardware,Validation,Manufacturing
STINOLEX ENGINEERS LLP,"Gandhinagar, Gujarat, India",Construction,Prototype,Construction Materials
MANISH ATTIRE PRIVATE LIMITED,"Sundargarh, Odisha, India",Textiles & Apparel,Scaling,Apparel & Accessories
RV ENTERPRISES,"Mathura, Uttar Pradesh, India",Construction,Prototype,Construction & Engineering
INSTRUCTOHUB PRIVATE LIMITED,"South Delhi, Delhi, India",IT Services,EarlyTraction,IT Consulting
SHRI GANPATI INDUSTRIES,"Raipur, Chhattisgarh, India",Renewable Energy,Validation,Manufacture of Electrical Equipment
SHRI KEMBHAVIMATHA DIVYASREE PRIVATE LIMITED,"Ballari, Karnataka, India",Green Technology,Prototype,Waste Management
EIKONOCLAST INDIA LLP,"Mumbai, Maharashtra, India",Chemicals,Prototype,Specialty Chemicals
RACVERSE PARTNERS LLP,"Kozhikode, Kerala, India",Professional & Commercial Services,Validation,Business Support Services
ALMEATERIAN PRIVATE LIMITED,"Jhansi, Uttar Pradesh, India",Logistics,Prototype,Others
PAGE POP LLP,"Dibrugarh, Assam, India",Education,Prototype,Others
NYAYSETU AI PRIVATE LIMITED,"Mainpuri, Uttar Pradesh, India",AI,Prototype,Machine Learning
APPLOTIC TECHNOLOGIES PRIVATE LIMITED,"Ranchi, Jharkhand, India",AI,EarlyTraction,Others
HimHarvest Organics LLP,"Kanpur Nagar, Uttar Pradesh, India",Food & Beverages,Prototype,Food Processing
XPOAURA VENTURES PRIVATE LIMITED,"Dakshina Kannada, Karnataka, India",Food & Beverages,Validation,Food Processing
ROKOSO TECHNOLOGY SERVICE PRIVATE LIMITED,"Akola, Maharashtra, India",IT Services,EarlyTraction,Web Development
TECHNOTRACK GLOBAL PRIVATE LIMITED,"Bhopal, Madhya Pradesh, India",Computer Vision,Scaling,Others
GREENMINDAI TECHNOLOGIES PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",AI,EarlyTraction,Others
KENSHIN FOODS AND BEVERAGES PRIVATE LIMITED,"Chittoor, Andhra Pradesh, India",Food & Beverages,EarlyTraction,Others
ARHASTYA TECHNO SOLUTIONS PRIVATE LIMITED,"Kota, Rajasthan, India",Technology Hardware,Prototype,Electronics
HABINX PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",Real Estate,Prototype,Housing
GAAQ GLOBAL SERVICES PRIVATE LIMITED,"Bengaluru, Karnataka, India",Professional & Commercial Services,Scaling,Business Support Services
SYNTELLITE INNOVATIONS PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",IT Services,Validation,Others
RSF MUSIC PRIVATE LIMITED,"Mumbai, Maharashtra, India",Media & Entertainment,Validation,Entertainment
SWASTIK ALUMINIUM,"Hisar, Haryana, India",Construction,Validation,Construction & Engineering
HYPOWER GREEN ENERGY TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Rural, Karnataka, India",Green Technology,Validation,Clean Tech
PLAYDECK TOYS PRIVATE LIMITED,"Sahibzada Ajit Singh Nagar, Punjab, India",Toys and Games,EarlyTraction,Physical Toys and Games
BHAIRAV DYNAMICS PRIVATE LIMITED,"Jammu, Jammu and Kashmir, India",Aeronautics Aerospace & Defence,Validation,Defence Equipment
SBL GENEALOGY SOLUTIONS PRIVATE LIMITED,"Kollam, Kerala, India",IT Services,EarlyTraction,Others
BLUEWINGSTAX LLP,"Bengaluru Urban, Karnataka, India",Finance Technology,Prototype,Accounting
UNIBLUR SPECTRUM LLP,"Kolkata, West Bengal, India",Food & Beverages,Prototype,Food Technology/Food Delivery
FUKE'S MEDIA LLP,"Bengaluru Urban, Karnataka, India",AR VR (Augmented + Virtual Reality),EarlyTraction,Others
NUNMA PRIVATE LIMITED,"Tirunelveli, Tamil Nadu, India",Education,EarlyTraction,Education Technology
S4BHALA CARE SERVICES (OPC) PRIVATE LIMITED,"Ujjain, Madhya Pradesh, India",House-Hold Services,EarlyTraction,Others
RHINOSTREAM TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Enterprise Software,EarlyTraction,Cloud
MADHAV ENTERPRISE,"Radhanpur, Gujarat, India",Human Resources,Prototype,Others
FAS-INERGEIA SOLAR PRIVATE LIMITED,"Dakshina Kannada, Karnataka, India",Renewable Energy,Scaling,Renewable Solar Energy
ADITYA POWER TECHNOLOGIES,"Kheda, Gujarat, India",Renewable Energy,EarlyTraction,Renewable Solar Energy
KRINUSH LIFESCIENCE (OPC) PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Retail,Validation,Others
WEKALP CULINARY PRIVATE LIMITED,"Nashik, Maharashtra, India",Food & Beverages,Validation,Food Technology/Food Delivery
PADMI SMART VENTURES PRIVATE LIMITED,"Tiruvallur, Tamil Nadu, India",Internet of Things,Validation,Smart Home
NEST ENERGY,"Rajkot, Gujarat, India",Renewable Energy,EarlyTraction,Renewable Energy Solutions
ARCHIPAWS PRIVATE LIMITED,"Idukki, Kerala, India",Pets & Animals,EarlyTraction,Others
VYOMA RETAIL PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Textiles & Apparel,Validation,Apparel & Accessories
INVEDGE ASSETS PRIVATE LIMITED,"New Delhi, Delhi, India",Finance Technology,EarlyTraction,Personal Finance
SAI SADASHIV PRIVATE LIMITED,"North West Delhi, Delhi, India",Education,EarlyTraction,Coaching
SLEEPTIC PRIVATE LIMITED,"South 24 Parganas, West Bengal, India",Other Specialty Retailers,Prototype,Home Furnishings Retailers
INDRAYA RITUALS PRIVATE LIMITED,"Chittoor, Andhra Pradesh, India",Retail,Scaling,Retail Technology
RAMA CONSTRUCTIONS,"New Delhi, Delhi, India",Construction,Prototype,Construction & Engineering
TRAILFOX ADVENTURES PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",Travel & Tourism,Validation,Experiential Travel
MYHEALTHVUE PRIVATE LIMITED,"Pune, Maharashtra, India",Healthcare & Lifesciences,Prototype,Healthcare Services
SRI MAHALAKSHMI MODERN RICE MILL,"Nandyal, Andhra Pradesh, India",Agriculture,Prototype,Food Processing
BETTER DRIVES CARS7 LLP,"Ernakulam, Kerala, India",Automotive,EarlyTraction,Others
NOGAP AI SECURITY PRIVATE LIMITED,"Pulwama, Jammu and Kashmir, India",Security Solutions,Prototype,Cyber Security
BATFIN PRIVATE LIMITED,"South Delhi, Delhi, India",Finance Technology,EarlyTraction,Microfinance
SKILLERN ACADEMY PRIVATE LIMITED,"Bengaluru, Karnataka, India",Education,EarlyTraction,Skill Development
A.K. ASSOCIATES,"North 24 Parganas, West Bengal, India",Construction,Validation,Construction & Engineering
ZYNKA TECHNOLOGIES PRIVATE LIMITED,"Bhopal, Madhya Pradesh, India",Automotive,EarlyTraction,Electric Vehicles
NATURESACTIV GLOBAL,"Medchal Malkajgiri, Telangana, India",Agriculture,Prototype,Animal Husbandry
COMMGENAI PRIVATE LIMITED,"Jabalpur, Madhya Pradesh, India",AI,Prototype,Others
ASTERISM GLOBAL PRIVATE LIMITED,"Raigad, Maharashtra, India",Transportation & Storage,Validation,Freight & Logistics Services
R K CONSTRUCTION,"Begusarai, Bihar, India",Construction,Prototype,Construction & Engineering
IDEA VAULT TECH LLP,"Hyderabad, Telangana, India",IT Services,Prototype,IT Consulting
VIVEKCOMMUTE PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Non- Renewable Energy,Validation,Oil Related Services and Equipment
STELLASION PRIVATE LIMITED,"Chennai, Tamil Nadu, India",Professional & Commercial Services,Prototype,Professional Information Services
ANGELINE PANKAJ TIRKEY WELFARE FOUNDATION,"Ranchi, Jharkhand, India",Education,Validation,Skill Development
ONEORDER INNOVATION PRIVATE LIMITED,"Gurugram, Haryana, India",Travel & Tourism,Validation,Hospitality
AETHERON.AI TECHNOLOGIES PRIVATE LIMITED,"Jalna, Maharashtra, India",IT Services,Prototype,Application Development
BANGESRI MARKETING PRIVATE LIMITED,"Hooghly, West Bengal, India",Marketing,EarlyTraction,Sales
TOAST FILMS LLP,"Bengaluru Urban, Karnataka, India",Media & Entertainment,Scaling,Entertainment
CRIMSON AI PRIVATE LIMITED,"Mumbai Suburban, Maharashtra, India",AI,Scaling,NLP
PETRIFIC SOLUTIONS PRIVATE LIMITED,"Rohtak, Haryana, India",Pets & Animals,EarlyTraction,Others
MEDIOTECH PRIME SOLUTIONS PRIVATE LIMITED,"Etawah, Uttar Pradesh, India",Healthcare & Lifesciences,Validation,Healthcare Technology
FUTURESUN ENERGIES PRIVATE LIMITED,"Satara, Maharashtra, India",Renewable Energy,Prototype,Renewable Solar Energy
EVERRETURN QUANT LLP,"Meerut, Uttar Pradesh, India",IT Services,Scaling,Product Development
PEETCH INFOTECH PRIVATE LIMITED,"Khordha, Odisha, India",Professional & Commercial Services,Scaling,Others
GRANDIOS MOBILITY PRIVATE LIMITED,"Thiruvananthapuram, Kerala, India",Passenger Experience,Prototype,Others
DIGITUP SOLUTIONS PRIVATE LIMITED,"Gurugram, Haryana, India",IT Services,Scaling,IT Consulting
QALYTISA TECHNOLOGIES PRIVATE LIMITED,"Hyderabad, Telangana, India",IT Services,EarlyTraction,IT Consulting
TECHFEAST SERVICES PRIVATE LIMITED,"Shahdara, Delhi, India",IT Services,EarlyTraction,Others
ANT MESH CLOUD NETWORK (OPC) PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",AI,Validation,Others
FRUITOGEN FOOD AND BEVERAGE,"Malappuram, Kerala, India",Food & Beverages,Scaling,Food Processing
XIBMS (OPC) PRIVATE LIMITED,"Thane, Maharashtra, India",Education,Prototype,Education Technology
XPREDATOR ARMS AND AMMUNITIONS PRIVATE LIMITED,"Aligarh, Uttar Pradesh, India",Aeronautics Aerospace & Defence,Validation,Defence Equipment
Crehuts,"Sivaganga, Tamil Nadu, India",Architecture Interior Design,Prototype,Others
WISHINGWINGS AEROSPACE PRIVATE LIMITED,"Pune, Maharashtra, India",Aeronautics Aerospace & Defence,Validation,Defence Equipment
VEEROVA DIGITAL SERVICE LLP,"Thane, Maharashtra, India",IT Services,Prototype,Project Management
PRAGALBH GOLD,"Surat, Gujarat, India",Design,Prototype,Others
SWAMI WEBCRAFT SOLUTIONS PRIVATE LIMITED,"Mumbai, Maharashtra, India",Enterprise Software,EarlyTraction,Others
THORSEC GLOBAL PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Professional & Commercial Services,Validation,Others
STRUQCURA INFRATECH &ENGG PROJECTS,"Medchal Malkajgiri, Telangana, India",Construction,EarlyTraction,Construction & Engineering
J K ENTERPRISES,"Allahabad, Uttar Pradesh, India",Construction,Prototype,Others
NUVANTA EDGE LLP,"Sundargarh, Odisha, India",Agriculture,EarlyTraction,Food Processing
KRIOTECK AUTOMATION PRIVATE LIMITED,"Bengaluru, Karnataka, India",Internet of Things,Validation,Smart Home
SOLVRIKSH AGRIVOLTAICS PRIVATE LIMITED,"Durg, Chhattisgarh, India",Agriculture,Prototype,Agri-Tech
SKYPACE INDIA LLP,"Kamrup Metro, Assam, India",Retail,Prototype,Social Commerce
QWIND INDIA PRIVATE LIMITED,"Morbi, Gujarat, India",Construction,EarlyTraction,Construction Supplies & Fixtures
RSECTIONS INTERNET LLP,"Agra, Uttar Pradesh, India",Professional & Commercial Services,Validation,Business Support Services
VITTAVIBHAVA PRIVATE LIMITED,"South 24 Parganas, West Bengal, India",Finance Technology,Prototype,Others
P S CHEMPRO PRIVATE LIMITED,"South Delhi, Delhi, India",Non- Renewable Energy,Validation,Oil & Gas Transportation Services
UPCURV INNOVATIONS PRIVATE LIMITED,"Coimbatore, Tamil Nadu, India",Education,Prototype,Education Technology
ERECTRON SOLUTION (OPC) PRIVATE LIMITED,"Nagpur, Maharashtra, India",Professional & Commercial Services,Prototype,Others
SHIVOMNI DVFIXCURE (OPC) PRIVATE LIMITED,"Aligarh, Uttar Pradesh, India",Advertising,EarlyTraction,Others
UKCOSA GLOBAL TECHNOLOGIES PRIVATE LIMITED,"Bhagalpur, Bihar, India",Agriculture,Prototype,Agri-Tech
ENTHEORY AI PRIVATE LIMITED,"Warangal Urban, Telangana, India",Healthcare & Lifesciences,Validation,Healthcare Technology
ZSPEEDO GLOBAL SOLUTIONS PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Internet of Things,Validation,Others
COGNISHALA INCUBATORS PRIVATE LIMITED,"Chandrapur, Maharashtra, India",Education,Validation,Others
BUNDERBRAINS PRIVATE LIMITED,"Mumbai Suburban, Maharashtra, India",AI,Validation,Others
ICONIC MAIKISAAN AGRO TECH PRIVATE LIMITED,"Aurangabad, Maharashtra, India",Agriculture,Validation,Others
YSUPREME POWER PRIVATE LIMITED,"Chittoor, Andhra Pradesh, India",Renewable Energy,EarlyTraction,Renewable Solar Energy
OSTRIS HEALTH PRIVATE LIMITED,"Bengaluru, Karnataka, India",Healthcare & Lifesciences,Validation,Healthcare IT
AR CONSTRUCTIONS,"Kurnool, Andhra Pradesh, India",Construction,Validation,Construction & Engineering
BIOTECH WALLAH PRIVATE LIMITED,"Deoria, Uttar Pradesh, India",AI,EarlyTraction,Machine Learning
MOVEZING TECH PRIVATE LIMITED,"Rajkot, Gujarat, India",Travel & Tourism,Prototype,Others
UNITED PCB PRIVATE LIMITED,"Rajkot, Gujarat, India",Renewable Energy,Validation,Manufacture of Electrical Equipment
NAVOZZO MATERIALS PRIVATE LIMITED,"Udaipur, Rajasthan, India",Construction,EarlyTraction,Construction Materials
BIRCHLOGIC PRIVATE LIMITED,"Mohali, Punjab, India",Enterprise Software,EarlyTraction,Cloud
GAINT CLOUT TECHNOLOGIES PRIVATE LIMITED,"Ranga Reddy, Telangana, India",IT Services,Prototype,IT Consulting
BLINKUP HOME SERVICES,"Bhopal, Madhya Pradesh, India",House-Hold Services,Scaling,Others
WELLNESS SPRINT PRIVATE LIMITED,"Mumbai, Maharashtra, India",Healthcare & Lifesciences,Prototype,Health & Wellness
IVASKILLSHARE PRIVATE LIMITED,"Warangal Urban, Telangana, India",AI,Prototype,Others
MNP MOMENTUM (OPC) PRIVATE LIMITED,"Mumbai, Maharashtra, India",Aeronautics Aerospace & Defence,Prototype,Defence Equipment
GAIN PROJECTS,"Azamgarh, Uttar Pradesh, India",Construction,EarlyTraction,Construction & Engineering
SUNITHA'S FARMART INDIA PRIVATE LIMITED,"Hyderabad, Telangana, India",Agriculture,Validation,Food Processing
CHOUDHARY HUB LLP,"Nashik, Maharashtra, India",Retail,Prototype,Retail Technology
NAVMUL EXIM LLP,"West Delhi, Delhi, India",Professional & Commercial Services,Prototype,Business Support Services
ARYA PHARMACEUTICALS PRIVATE LIMITED,"Indore, Madhya Pradesh, India",Healthcare & Lifesciences,Scaling,Pharmaceutical
ORBIVUE TECHNOLOGIES PRIVATE LIMITED,"Ahmedabad, Gujarat, India",AI,Validation,Machine Learning
SKILLORA DESIGN ACADEMY LLP,"Pune, Maharashtra, India",Education,EarlyTraction,Skill Development
AWARE AI TECHNOLOGIES PRIVATE LIMITED,"Paschim Bardhaman, West Bengal, India",AI,Validation,NLP
ALTARADIUS TECHNOLOGIES PRIVATE LIMITED,"Chennai, Tamil Nadu, India",IT Services,Validation,Product Development
GREENRY NATURAL PRIVATE LIMITED,"Bhopal, Madhya Pradesh, India",Food & Beverages,Validation,Food Technology/Food Delivery
AGRI LOOM PRIVATE LIMITED,"Chitradurga, Karnataka, India",Agriculture,EarlyTraction,Agri-Tech
ENTROPIA RECURVA SOLUTIONS PRIVATE LIMITED,"Sundargarh, Odisha, India",Automotive,Prototype,Others
CONNEXSOUL (OPC) PRIVATE LIMITED,"Mumbai, Maharashtra, India",Social Network,Prototype,Others
MAKEOVER INDIA PROBUILD PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",Internet of Things,Validation,Others
CANARY DIGITAL,"Ernakulam, Kerala, India",AI,Validation,Others
SUPREME SCS PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Logistics,Scaling,Others
VANSH ENTERPRISES,"Pratapgarh, Uttar Pradesh, India",Construction,EarlyTraction,Others
KVSR PROJECTS,"Ranga Reddy, Telangana, India",Construction,Scaling,Construction & Engineering
AUTOPHOTO LABS PRIVATE LIMITED,"Udaipur, Rajasthan, India",AI,EarlyTraction,Machine Learning
SEVEN STARS TALENTX (I) PRIVATE LIMITED,"Khordha, Odisha, India",Human Resources,Prototype,Recruitment Jobs
VERDAGRO AGRO FARMING PRIVATE LIMITED,"Garhwa, Jharkhand, India",Agriculture,EarlyTraction,Agri-Tech
DISHARA CONTROLS,"Mysuru, Karnataka, India",Healthcare & Lifesciences,Prototype,Medical Devices Biomedical
SOAISEC LABS PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",AI,Validation,Others
R&E ASSOCIATES PRIVATE LIMITED,"Chennai, Tamil Nadu, India",Professional & Commercial Services,Prototype,Professional Information Services
ORAINA E-BUSINESS PRIVATE LIMITED,"Ernakulam, Kerala, India",IT Services,EarlyTraction,Others
QUESSAR PRIVATE LIMITED,"Bengaluru Rural, Karnataka, India",Renewable Energy,Prototype,Renewable Energy Solutions
ECOHOUSE RENEWABLES INDIA PRIVATE LIMITED,"Ratnagiri, Maharashtra, India",Renewable Energy,Validation,Renewable Solar Energy
WEAR WHEEL PRIVATE LIMITED,"Supaul, Bihar, India",Fashion,Prototype,Apparel
YAJANAS PRIVATE LIMITED,"Saharanpur, Uttar Pradesh, India",Human Resources,EarlyTraction,Recruitment Jobs
U&A IMPEX & SERVICES LLP,"Banaskantha, Gujarat, India",Human Resources,Prototype,Recruitment Jobs
SKY360.AI TECH LLP,"Dakshina Kannada, Karnataka, India",IT Services,Validation,Others
VIDEOMART TECHNOLOGIES AND DIGITAL MEDIA PRIVATE LIMITED,"Kolkata, West Bengal, India",Education,Prototype,E-learning
MAGORIX- PRIVATE LIMITED,"Tiruchirappalli, Tamil Nadu, India",Green Technology,Validation,Clean Tech
FALCONX ELECTRO TECHNOLOGIES PRIVATE LIMITED,"Ranga Reddy, Telangana, India",Technology Hardware,Scaling,Embedded
AK FACILITY SERVICES,"Nagapattinam, Tamil Nadu, India",Human Resources,Scaling,Recruitment Jobs
NIRANKAR INFRASTRUCTURE PRIVATE LIMITED,"Narsinghpur, Madhya Pradesh, India",Agriculture,Scaling,Food Processing
AHMEDABAD FILTERS PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Green Technology,Validation,Clean Tech
URBAN GRAIN NATURAL LLP,"Mumbai Suburban, Maharashtra, India",Food & Beverages,EarlyTraction,Food Processing
ELYSIUM RETIREMENT LLP,"Chennai, Tamil Nadu, India",Healthcare & Lifesciences,Validation,Health & Wellness
AELIV 2SWAZ PRIVATE LIMITED,"Pune, Maharashtra, India",Fashion,Prototype,Apparel
PRYOLT PRIVATE LIMITED,"Jaipur, Rajasthan, India",Technology Hardware,Validation,Electronics
NEWTIFY INNOVATION PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",Fashion,Validation,Lifestyle
VROPX INDIA PRIVATE LIMITED,"Vijayapura, Karnataka, India",Construction,Prototype,Construction & Engineering
DOZER HOUSE PRIVATE LIMITED,"Visakhapatnam, Andhra Pradesh, India",Other Specialty Retailers,Validation,"Auto Vehicles, Parts & Service Retailers"
VIRAMAN NETWORK PRIVATE LIMITED,"New Delhi, Delhi, India",IT Services,Scaling,IT Management
BON HAPPETEE NUTRITION SERVICES PRIVATE LIMITED,"Mumbai Suburban, Maharashtra, India",Healthcare & Lifesciences,EarlyTraction,Health & Wellness
ZPLYS.AI PRIVATE LIMITED,"Jaipur, Rajasthan, India",Sports,Validation,Sports Promotion and Networking
FLUENCITY SOCIAL PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",AI,EarlyTraction,Machine Learning
DATROI PRIVATE LIMITED,"Gurugram, Haryana, India",Technology Hardware,EarlyTraction,Others
ZON ROBOTICS AND AI PRIVATE LIMITED,"Indore, Madhya Pradesh, India",Robotics,Prototype,Robotics Technology
VEXTURBO RESEARCH AND DEVELOPMENT,"Bengaluru Urban, Karnataka, India",AI,Validation,NLP
COBLUD HEALTHTECH PRIVATE LIMITED,"Chennai, Tamil Nadu, India",Healthcare & Lifesciences,Prototype,Healthcare IT
NEURATEL TECHNOLOGIES PRIVATE LIMITED,"Hyderabad, Telangana, India",Retail,EarlyTraction,Retail Technology
SMARTAURA PRIVATE LIMITED,"Jaipur, Rajasthan, India",Internet of Things,Prototype,Manufacturing & Warehouse
MAURYA INFO TECH SERVICE,"Vadodara, Gujarat, India",AI,EarlyTraction,Others
STRIBON NEXTGEN PRIVATE LIMITED,"Patna, Bihar, India",Enterprise Software,Scaling,ERP
GEEKGLORY TECHNOLOGIES PRIVATE LIMITED,"North 24 Parganas, West Bengal, India",Media & Entertainment,Validation,Entertainment
GEOSELLENCE GLOBAL PRIVATE LIMITED,"Ernakulam, Kerala, India",IT Services,Prototype,Application Development
C4 COMPOSITES LLP,"Chandigarh, Chandigarh, India",Aeronautics Aerospace & Defence,EarlyTraction,Others
PRECISION COROMANT,"Kanpur Nagar, Uttar Pradesh, India",Aeronautics Aerospace & Defence,Prototype,Defence Equipment
Ambao Krishikutumb LLP,"Harda, Madhya Pradesh, India",Agriculture,Scaling,Agri-Tech
INNOVISKAAR PRIVATE LIMITED,"Morena, Madhya Pradesh, India",Robotics,Prototype,Robotics Application
SAKHUJA HOUSE PRIVATE LIMITED,"Faridabad, Haryana, India",Textiles & Apparel,EarlyTraction,Apparel & Accessories
MENDT TECHNOLOGIES PRIVATE LIMITED,"South West Delhi, Delhi, India",House-Hold Services,Prototype,Home Care
CARELENCIA HEALTHCARE PRIVATE LIMITED,"Sonipat, Haryana, India",Healthcare & Lifesciences,Validation,Others
TOYNEX CREATIONS PRIVATE LIMITED,"Surendranagar, Gujarat, India",Toys and Games,Validation,Physical Toys and Games
SSRDP PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Social Impact,Scaling,Others
XALYTE TECHNOLOGIES PRIVATE LIMITED,"Kolkata, West Bengal, India",AI,Prototype,NLP
UPLYNK NETWORKS PRIVATE LIMITED,"Nagpur, Maharashtra, India",IT Services,Validation,Others
FHIGH ENTERTAINMENT PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",Media & Entertainment,Scaling,Digital Media Video
WWILDD FFREERRUNN PRIVATE LIMITED,"Dehradun, Uttarakhand, India",Sports,EarlyTraction,Others
VIGSIA INCELERATE FUTUREC VENTURES PRIVATE LIMITED,"Mahasamund, Chhattisgarh, India",Education,Validation,Others
WASC TRIM PRIVATE LIMITED,"Kamrup Metro, Assam, India",House-Hold Services,Prototype,Personal Care
THLADO GREENTECH,"Aizawl, Mizoram, India",Renewable Energy,Scaling,Renewable Solar Energy
C3E VENTURE PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Healthcare & Lifesciences,Validation,Health & Wellness
TURINGLAYER RESEARCH LLP,"Gautam Buddha Nagar, Uttar Pradesh, India",AI,EarlyTraction,Others
SHESA POWER PRIVATE LIMITED,"Ranchi, Jharkhand, India",Technology Hardware,Prototype,Manufacturing
WALMIK ENERGY PRIVATE LIMITED,"Pune, Maharashtra, India",Renewable Energy,Validation,Renewable Energy Solutions
