NAME,INVESTOR_TYPE,PREFERRED_STARTUP_STAGES,FOCUS_INDUSTRIES,FOCUS_SECTOR,SERVICE_AREAS,INVESTMENT_RANGE,LOCATION,EXISTENCE_SCORE,TYPE_SCORE,INDUSTRY_SCORE,STAGE_SCORE,RANGE_SCORE,LOCATION_SCORE,OVERALL_SCORE,VERDICT,SOURCES,DATE_ADDED,VERIFIED_BY
Rahul Thakur,Angel,Scaling,Sector-agnostic,Sector-agnostic,Equity Investment,From ?16.6 Cr INR,"New Delhi, Delhi",0.30 - multiple names,0.60 - unclear angel,0.50 - too generic,0.40 - stage vague,0.70 - high ticket unproven,0.90 - Delhi listed,0.57,NEEDS_MANUAL_VALIDATION,https://in.linkedin.com/in/rahul-thakur-1694842b; https://in.linkedin.com/in/rahulthakur2; https://in.linkedin.com/in/rtx; https://www.investmentnetwork.in/angel-investors/rahul-r-angel-investor-new-delhi-india-1148670,23-10-2025,umika
CREDX Ventures,Other,"Idea or Patent, Prototype, EarlyTraction, Scaling, Growth, Pre-IPO","AI, Fintech, SaaS, DeepTech, D2C, ClimateTech, Sustainability",Sector-agnostic,"SaaS, D2C, DeepTech, ClimateTech",?41.5 L - ?2.07 Cr INR,"Toronto, Ontario",0.95 - investor profile found,0.95 - confirmed syndicate model,0.90 - self-stated sector agnostic,0.95 - all stages explicitly listed,0.85 - check size is $50K-$250K USD,0.95 - HQ location confirmed,0.93,VALID,https://credx-ventures.webflow.io/; https://www.openvc.app/fund/CREDX%20Ventures; https://www.youtube.com/watch?v=7MGNVE9mbHA,23-10-2025,umika
Axilor Ventures,Venture Capital,"Prototype, EarlyTraction","Enterprise Software, DeepTech, Fintech, HealthTech, Supply Chain, Agriculture Tech, ClimateTech","Enterprise SaaS, B2B Commerce, Fintech, HealthTech, AgriTech, ClimateTech","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?2.07 Cr - ?4.15 Cr INR,"Bangalore, Karnataka",0.95 - official website found,0.95 - confirmed as active Seed VC,0.95 - detailed sectors explicitly confirmed,0.95 - seed/pre-Series A focus confirmed,0.95 - check size is $200K-$500K USD,0.95 - HQ location confirmed,0.95,VALID,https://www.axilor.com/; https://www.axilor.com/portfolio/; https://www.axilor.com/axilor-launches-its-second-seed-fund-of-100m,23-10-2025,umika
Chiratae Ventures,Venture Capital,EarlyTraction,"Consumer Tech, Fintech, HealthTech, SaaS, DeepTech, ClimateTech, SpaceTech","Enterprise SaaS, B2B Commerce, AI/ML, FinTech Platforms, HealthTech Platforms, ClimateTech Infrastructure","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?8.3 Cr - ?64.1 Cr INR,"Bangalore, Karnataka",0.95 - official website confirmed,0.95 - confirmed as a VC fund,0.95 - all sectors explicitly confirmed,0.95 - early-stage focus confirmed,0.80 - check size is $500K-$15M USD,0.95 - HQ location confirmed,0.93,VALID,https://www.chiratae.com/; https://www.chiratae.com/chiratae-sonic/; https://entrackr.com/snippets/chiratae-ventures-makes-second-close-of-fund-v-at-150-mn-10494280,23-10-2025,umika
Cloud Capital,Venture Capital,"Idea or Patent, Prototype, EarlyTraction, Scaling","SaaS, Fintech, HealthTech, Web3, Cloud Infrastructure","Enterprise SaaS, B2B Commerce, AI/ML, FinTech Platforms, HealthTech Platforms, Cloud Infrastructure","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?41.5 L - ?2.07 Cr INR,"Delhi, Delhi",0.95 - company profile found,0.95 - micro VC fund confirmed,0.95 - specific sectors confirmed,0.95 - early-stage focus confirmed,0.95 - check size is $50K-$250K USD,0.95 - HQ location confirmed,0.95,VALID,https://www.ynos.in/venture-capital/cloud-capital-001139; https://pitchbook.com/profiles/investor/469983-34; https://www.cloudcap.in/,23-10-2025,umika
Media Inv,Corporate VC,"Scaling, Growth","AdTech, SaaS, Digital","Advertising, SaaS","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?8.3 Cr – ?149.4 Cr,"London, United Kingdom",1.00 - profile found OpenVC,1.00 - listed as Corporate VC,1.00 - AdTech/SaaS focus confirmed,"0.90 - Scaling, Growth confirmed",1.00 - investment range confirmed,1.00 - HQ London confirmed,0.98,VALID,https://www.openvc.app/fund/Media%20Investments; https://find-and-update.company-information.service.gov.uk/company/14677099/officers,23-10-2025,Swarnim
Octava,Family Office,"Early Traction, Scaling","Fintech, AI","Financial Software, AI / ML","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?4.15 Cr – ?16.6 Cr,Singapore,"1.00 - official site, multiple profiles",1.00 - clearly stated as Family Office,1.00 - direct investment focus confirmed,0.90 - stated as Seed to Series A (Early Revenue/Scaling),0.70 - check size found in USD ($500k to $2M),1.00 - HQ Singapore confirmed,0.93,VALID,https://octava.sg/; https://www.openvc.app/fund/Octava; https://altss.com/profile/octava,23-10-2025,Swarnim
Akhilesh Chandra,Angel,"Idea or Patent, Prototype, Early Traction, Scaling, Growth","AI, Gaming, Web3, SaaS, Entertainment, Fintech, HealthTech","Esports / Gaming, Web3 Platforms, SaaS Tools, Digital Health","SaaS, Gaming, Fintech, Web3",?4.15 L – ?41.5 L INR,USA,"0.40 - only one investor found, India-based","0.70 - identified as Angel, but profile is thin","0.50 - source shows FinTech focus, not Web3/Gaming",0.75 - stages seem plausible for Angel,0.50 - no public INR band found,"0.30 - source shows India location, not USA",0.53,CHECKED_MANUALLY,https://tracxn.com/d/people/akhilesh-chandra/__j9CYH3tK3YQbt2bMDcWY_F6YGTVl9e_ZKdI5oq4eseQ; No direct source found,23-10-2025,Swarnim
CSGo Hub (Crypto Serumpun Go Hub),Incubator / Accelerator,"Prototype, Early Traction, Scaling, Growth, Pre-IPO","Web3, AI, Gaming, Blockchain","GameFi, DeFi, DePin, RWA, L0/L2","Incubation, Web3 Development, Smart Contract Audit, KYC, Community Fundraising, Exchange Listings, Marketing, Community Growth",?8.3 L – ?2.49 Cr INR,South East Asia,1.00 - profile found OpenVC,1.00 - confirmed as Incubator/Accelerator,1.00 - Web3 sectors fully align,1.00 - stages align with Incubator/Accelerator,1.00 - check size ($10k-$3M) converted,1.00 - HQ South East Asia confirmed,1,VALID,https://www.openvc.app/fund/CSGo%20Hub%20%28Crypto%20Serumpun%20Go%20Hub%29,23-10-2025,Swarnim
NOW Venture Studio,Startup / Venture Studio,"Idea or Patent, Prototype","Sustainability, ClimateTech, DeepTech","ClimateTech / CleanTech, DeepTech","Venture Studio, DeepTech Product Development, Concept Validation, MVP Building, Early Customer Adoption, First Institutional Funding, Mentorship, Market Access, Corporate Partnerships, Access to Labs",?20.75 L – ?4.15 Cr INR,"Bengaluru, Karnataka",1.00 - multiple sources found,1.00 - self-identified as Venture Studio,1.00 - focus on ClimateTech/DeepTech confirmed,1.00 - pre-seed stages confirmed,0.90 - stated range $250K-$500K,1.00 - HQ Bengaluru confirmed,0.98,VALID,https://www.openvc.app/fund/NOW%20Venture%20Studio; https://www.nowventurestudio.com/model; https://www.financialexpress.com/business/express-mobility-now-announces-to-invest-upto-500000-each-in-3-4-deep-tech-and-green-start-ups-3416953; https://pitchbook.com/profiles/investor/590002-30,23-10-2025,Swarnim
Amit Gogia,Angel,"Early Traction, Scaling","Consumer, Healthcare, EdTech, SaaS","Digital Health, EdTech, Consumer SaaS, D2C, Consumer Platforms","GTM, Strategy, Sales, BD, Partnerships, Mentor, Advisor, Consultant",?8.3 L – ?20.75 L INR,India,1.00 - multiple online profiles found,1.00 - explicitly self-identified as Angel,1.00 - sectors and sub-sectors fully aligned,1.00 - targets Early Revenue/Scaling stages,0.95 - range stated as $10K-$25K USD,1.00 - HQ/focus India confirmed,0.99,VALID,https://www.openvc.app/fund/Amit%20Gogia; https://www.evalyze.ai/investors/amit-raj-gogia; https://amitrajgogia.com/,23-10-2025,Swarnim
Startup Sherpas,Incubator / Accelerator,"Prototype, Early Traction, Scaling","Consumer, D2C","Consumer, Retail Tech, Consumer Brands","Incubation, Mentoring, Market Access, GTM Strategy, Fundraising Support, Expert Interventions, Future Capital Access",?41.5 L INR,"Gurugram, Haryana",1.00 - OpenVC/TICE profiles found,1.00 - identified as Accelerator Fund,1.00 - D2C/Consumer focus confirmed,1.00 - Prototype to Scaling confirmed,0.90 - stated as INR 50L (â‚¹50L INR),"1.00 - HQ Gurugram, India confirmed",0.98,VALID,https://www.openvc.app/fund/Startup%20Sherpas; https://www.tice.news/tice-dispatch/startup-sherpas-startup-india-consumer-brands-d2c-startups; https://www.startupsherpas.in/accelerator,23-10-2025,Swarnim
Elevar Equity,Venture Capital,"Idea or Patent, Prototype, Early Traction, Scaling, Growth","Financial Inclusion, MSME Support, Low-income Communities, Healthcare, Education","Fintech for MSMEs, Social Impact, Small Business Tools, Affordable Health, Affordable Education","Early Growth Capital, Institutional Co-Founder, Strategy, Governance, Organizational Development, Product Design, Distribution, Mentorship",?16.6 Cr – ?83 Cr INR,"Bengaluru, Karnataka",1.00 - globally recognized VC firm,1.00 - clearly stated as Venture Capital,1.00 - core thesis confirmed by all sources,1.00 - invests early growth capital (Seed to Growth),0.90 - check size stated as $2M-$10M USD,1.00 - HQ Bengaluru confirmed,0.98,VALID,https://www.openvc.app/fund/Elevar%20Equity; https://elevarequity.com/about/; https://www.ivca.in/insights/blogs/fund-in-focus-sl8; https://tracxn.com/d/venture-capital/elevar-equity/__Sr55wm55AD5xQ_aekGD81fF70MG_YKPiS-bnmLGYYSI,23-10-2025,Swarnim
AngelSpark,Angel Network,"Idea or Patent, Prototype, Early Traction, Scaling","Fintech, IoT, Web3, SaaS, F&B","Developer Tools, Open Source, ISP, SaaS, Marketplace, Consumer Platforms","Angel Investment, Syndicate Lead, Mentoring, VC Connection",From ?83 L INR,"Dubai, UAE",1.00 - multiple confirmed profiles,0.90 - confirmed as Angel Network/Group,1.00 - core focus on Fintech/Web3/SaaS/F&B verified,1.00 - focuses on earliest stages (Idea to Scaling),0.80 - stated check size is $100K (â‚¹83 L INR),"1.00 - HQ Dubai, UAE confirmed",0.95,VALID,https://www.openvc.app/fund/AngelSpark; https://tracxn.com/d/angel-network/angelspark/__iHrtC_1q1Hxq7Rm7DzuohHZc_z-4goLJopwQSuUhqoc; https://nin.ae/open-innovation-calls/startup/angelspark/,23-10-2025,Swarnim
CobuildX,Startup / Venture Studio,"Idea or Patent, Prototype, Early Traction, Scaling, Growth, Pre-IPO","Software, Web3, Fintech, SaaS, Healthcare, Retail, Enterprise / B2B","Enterprise / B2B SaaS, HealthTech, Retail Tech","Venture Studio, Co-building, Product Development, Technology Services (AI, ML, LLMs, Computer Vision), Mentorship, Fundraising Support",?12.45 L – ?20.75 L INR,"Austin, Texas, USA",1.00 - multiple confirmed profiles,1.00 - confirmed as Venture Studio,"0.95 - focus verified, Web3 less prominent",1.00 - all stages supported by Venture Studio model,0.85 - check size ($15K-$25K) confirmed; low for VC,"1.00 - HQ Austin, TX confirmed",0.97,VALID,https://www.openvc.app/fund/CobuildX; https://pitchbook.com/profiles/investor/642541-96; https://cobuild.tech/,23-10-2025,Swarnim
Harriet Ventures,Private Equity / Buyout,"Early Traction, Scaling, Growth, Pre-IPO","Fintech, SaaS, AI, EdTech, PropTech, HealthTech, Gaming, BioTech, HR Tech, Startup Ecosystem","B2B SaaS, SMB Platforms, HR SaaS, FinTech Software, Social Impact","Majority Acquisition, Active Operational Management, Founder-Friendly Exit, Buyout",?4.15 Cr – ?415 Cr INR,"St. Petersburg, Florida, USA",1.00 - official site and profiles found,1.00 - explicitly stated as Private Equity,0.90 - sectors largely confirmed; very broad focus,0.95 - focus on profitable ($500K-$5M EBITDA) companies,0.95 - check size $500K-$50M USD confirmed,"1.00 - HQ St. Petersburg, FL confirmed",0.97,VALID,https://www.harrietventures.com/; https://www.openvc.app/fund/Harriet%20Ventures; https://pitchbook.com/profiles/investor/551414-17,23-10-2025,Swarnim
Travel Capitalist Ventures,Venture Capital,"Early Traction, Scaling, Growth, Pre-IPO","Travel, TravelTech, Fintech","Travel Payments, Hospitality / Real Estate, Travel Platforms","Capital, Strategic Advice, Industry Introductions, Supplier Relationships, Press & Media",?2.5 Cr – ?41.5 Cr INR,"Doha, Qatar",1.00 - multiple confirmed profiles,1.00 - confirmed as Venture Capital,1.00 - exclusively Travel/Fintech confirmed,1.00 - invests late seed to Series B,0.90 - check size $250K-$5M USD confirmed,"1.00 - HQ Doha, Qatar confirmed",0.98,VALID,https://travelcapitalist.com/about/; https://www.openvc.app/fund/Travel%20Capitalist%20Ventures; https://pitchbook.com/profiles/investor/140372-74,23-10-2025,Swarnim
XVC Tech,Venture Capital,"Scaling, Growth","Web3, Blockchain","Blockchain Infrastructure, Web3, RWA, AI, DePIN","VC Investment ($250K-$2M), Board Seats, Technical/Blockchain Support, Ecosystem Introductions, Strategic Advice",?2.075 Cr – ?16.6 Cr INR,"Dubai, UAE",1.00 - multiple official profiles found,1.00 - confirmed as Venture Capital firm,1.00 - core focus on Web3/Blockchain confirmed,1.00 - focuses on Early Revenue/Scaling/Growth,0.90 - stated check size is $250K-$2M USD,"1.00 - HQ Dubai, UAE confirmed",0.98,VALID,https://www.openvc.app/fund/XVC%20Tech; https://www.xvc.tech/our-portfolio.html; https://pitchbook.com/profiles/investor/536959-54; https://www.dlnews.com/external/xdc-networks-xvc-tech-announces-investment-in-laser-digital-carry-fund-launches-institutional-fund-infrastructure-with-libre,23-10-2025,Swarnim
SHRMLabs,Corporate Venture Capital,"Early Revenue, Scaling, Growth","HRTech, WorkplaceTech, Future of Work","HRTech, SaaS, Workplace Innovation","Venture Capital, Strategic Growth, WorkplaceTech Accelerator, Mentorship, Market Access, SHRM Network",?41.5 L – ?1.66 Cr INR,"Alexandria, Virginia, USA",1.00 - multiple official site/profiles found,1.00 - explicitly CVC arm of SHRM,1.00 - exclusive focus on HRTech/WorkplaceTech confirmed,1.00 - invests Seed to Series B (Early Revenue to Growth) with Accelerator focus,0.90 - Accelerator investment confirmed at $200K,"1.00 - HQ Alexandria, VA confirmed",0.98,VALID,https://www.shrm.org/labs/workplace-tech-accelerator; https://www.openvc.app/fund/SHRMLabs; https://pitchbook.com/profiles/investor/490816-81,23-10-2025,Swarnim
Striking Markets,Angel,"Validation, Early Traction","Fintech, Blockchain, Entertainment, Creator Economy","DeFi / Web3, Creator Tools, Entertainment, Digital Assets","Marketplace, Web3 Infrastructure, Digital Platforms",?8.3 L – ?83 L INR,"The Hague, Netherlands",0.40 - no specific profile found for this name,"0.50 - assumed Angel from context, but unverified","0.50 - core sectors (Web3, Creator Economy) are plausible Angel targets","0.75 - stages (Validation, Early Traction) align with Angel profile","0.50 - investment range is typical for a solo Angel, but unverified","0.60 - The Hague is plausible for tech/fintech, but unverified",0.54,CHECKED_MANUALLY,No direct source found,23-10-2025,Swarnim
JT Ventures,Family Office,"Early Traction, Scaling","Disruptive Innovation, Technology","DeepTech, Enterprise / B2B, Consumer Innovation","Financial Backing, Strategic Solutions, Network, Fundraising Guidance",?41.5 L – ?2.075 Cr INR,"Bangalore, Karnataka, India",1.00 - multiple verified company profiles,1.00 - officially stated as Family Office,"1.00 - core focus confirmed: SaaS, Fintech, Consumer Tech, HealthTech",1.00 - targets Seed to Series A (Early Revenue to Scaling) stages,0.95 - range stated as $50K-$250K USD,"1.00 - HQ Bangalore, Karnataka confirmed",0.99,VALID,https://www.jtventures.in/; https://www.openvc.app/fund/JT%20ventures; https://beamstart.com/@JT-Ventures,23-10-2025,Swarnim
Cisco Climate Commitment,Corporate VC,"Ideation, Validation, Early Traction, Scaling","ClimateTech, IoT, CleanTech, AgriTech, EnergyTech, Urban Tech, Carbon","AgriTech (Regenerative Agriculture), Carbon Management (MRV, Removal), Circular Economy, Renewable Energy, Urban/Cities","Impact Investment, Grant Funding, Ecosystem Connections, Strategic Advice, Visibility/Brand, Capital",?1.66 Cr – ?16.6 Cr INR,"San Jose, California, USA",1.00 - official Cisco Foundation arm,1.00 - confirmed as CVC/Impact Fund,1.00 - focus on broad ClimateTech/IoT/AgriTech confirmed,0.95 - focus on Seed to Series A (Ideation to Scaling) confirmed; Growth excluded,0.90 - check size stated as $200K-$2M USD,"1.00 - HQ San Jose, CA confirmed",0.97,VALID,https://www.openvc.app/fund/Cisco%20Climate%20Commitment; https://www.3blmedia.com/news/reintroducing-cisco-foundation-regenerative-future-fund-redefining-impact-climate-investing; https://www.csrwire.com/press_releases/824776-cisco-investing-ai-digital-innovation-indias-farming-future,23-10-2025,Swarnim
OM DAO Ventures,Venture Capital,"Validation, Early Traction, Scaling, Growth","Web3, DeFi, Gaming, Infrastructure","Blockchain Gaming, DeFi Protocols, Web3 Infrastructure","Capital, Acceleration Programs, Market Making, Exchange Listing, Strategic Advice, Network",?24.9 L – ?2.49 Cr INR,"Casper, Wyoming, USA",0.95 - verified as a new fund (OM DAO) with an experienced team,1.00 - explicitly stated as a VC fund investing in crypto,"1.00 - sectors (DeFi, Gaming, Infrastructure) fully confirmed",0.95 - invests Pre-Seed to Growth (Prototype to Growth) stages,0.90 - check size confirmed at $30K-$300K USD,0.80 - stated HQ in Wyoming (a common legal domicile for DAOs/Crypto) is plausible,0.93,VALID,https://www.openvc.app/fund/OM%20DAO%20Ventures; https://beamstart.com/@OM-DAO; https://www.binance.com/en/square/post/25632879120322,23-10-2025,Swarnim
Critical Ventures,Venture Capital,"Validation, Early Traction, Scaling, Growth","IoT, Web3, Fintech, AI, ML, DevOps, Blockchain, Cybersecurity, Medical Software, Mobility","Cybersecurity, Fintech SaaS, Industrial IoT, Cloud / DevOps, Digital Health","Funding, Hands-on Operational Expertise, Strategic Advice, Ecosystem Network",?2.075 Cr – ?24.9 Cr INR,"Coimbra, Portugal",1.00 - multiple confirmed company profiles,1.00 - explicitly stated as a VC firm,"1.00 - core focus on Deep Tech software, IoT, AI, Cybersecurity confirmed",1.00 - invests Seed to Series B (Validation to Growth) stages,0.90 - stated check size is $250K-$3M USD,"1.00 - HQ Coimbra, Portugal confirmed",0.98,VALID,https://www.openvc.app/fund/Critical%20Ventures; https://www.critical-ventures.com/; https://pitchbook.com/profiles/investor/60063-76,23-10-2025,Swarnim
Frontierspace Ventures,Venture Capital,"Early Traction, Scaling, Growth","Technology, Consumer, Enterprise / B2B","SaaS, B2B Platforms, Consumer/Enterprise Tech","Equity Capital, Strategic Support, Strategy Consulting, Investor/VC Network",?83 L – ?8.3 Cr INR,"New Delhi, India",1.00 - official site and multiple VC profiles found,1.00 - explicitly stated as a Venture Capital Firm,1.00 - focus on B2B/B2C tech and revenue-driven models confirmed,1.00 - targets Seed to Growth stages (Early Revenue to Scaling/Growth),0.90 - check size stated as $100K-$1M USD,"1.00 - HQ New Delhi, India confirmed",0.98,VALID,https://www.frontierspacevc.com/; https://www.openvc.app/fund/Frontierspace%20Ventures; https://pitchbook.com/profiles/investor/507001-06,23-10-2025,Swarnim
Sahith Aula,Angel,"Ideation, Validation, Early Traction","Fintech, Emerging Markets","Embedded Finance, Financial Inclusion, Digital Finance Platforms","Syndicate Lead (Katha), Strategic/Investment Advice, Network Access, Due Diligence",?8.3 L – ?1.66 Cr INR,"New York, USA",1.00 - multiple verified profiles under 'Sahith Aula' and 'Katha VC',1.00 - leads 'Katha' syndicate as GP/Angel investor,1.00 - exclusive focus on Fintech in Emerging Markets confirmed,"0.95 - invests Pre-Seed/Seed, fitting Ideation/Validation/Early Traction","0.85 - check size confirmed as minimum $10K, typical $100K-$125K USD","1.00 - HQ New York, USA confirmed",0.97,VALID,https://venture.angellist.com/katha/syndicate; https://gilc.club/media/943; https://www.openvc.app/fund/Katha%20VC,23-10-2025,Swarnim
I XCEL Ltd,Startup / Venture Studio,"Ideation, Validation, Early Traction, Scaling, Growth, Pre-IPO","Socio-economic Development, Consumer, Fintech, Technology","Early Cash-flow Businesses, Consumer Services, SaaS, Fintech, HealthTech","Startup Studio, Value Creation, Scale Enablement, Global Business Advisory, Operational/Compliance Advice, Human Capital",?20.75 L – ?83 L INR,"London, United Kingdom",1.00 - official site and VC profile confirmed,1.00 - self-identified as Venture Fund/Advisory & Socio-Economic Venture Fund,1.00 - core focus on Socio-economic Development and early cash-flow tech businesses confirmed,1.00 - stages (Idea to Pre-IPO) fully supported by Venture Studio thesis,0.90 - check size stated as $25K-$100K USD,"1.00 - HQ London, UK confirmed",0.98,VALID,https://ixcel.co/about-us; https://www.openvc.app/fund/I%20XCEL%20Ltd,23-10-2025,Swarnim
Telah,Angel Network,"Validation, Ideation, Early Traction, Scaling","Web3, Blockchain, Gaming, Consumer","VR / AR, Web3, Consumer Internet","Angel Network, Funding, Team Help, Strategy/Network Support",?1.245 Cr – ?2.49 Cr INR,"Paris, France",1.00 - verified investor profile found,1.00 - explicitly identified as an Angel Network,"1.00 - investment thesis (Web3, Gaming, Consumer, VR) is fully confirmed",1.00 - targets earliest stages (Idea to Scaling) confirmed,0.90 - check size stated as $150K-$300K USD,"1.00 - HQ Paris, France confirmed",0.98,VALID,https://www.openvc.app/fund/Telah; https://telah.vc/,23-10-2025,Swarnim
Aperio Partners,Venture Capital,"Early Traction, Scaling","Consumer, Fintech, HealthTech, Mobility / Logistics, SaaS, DeepTech","Logistics Tech, Consumer Internet, HealthTech / SaaS, DeepTech Platforms, Mobility","VC Investment, Network Access (HNI, Incubators), GTM Specialization, Lead Investor",?1.245 Cr – ?3.735 Cr INR,"Mumbai, Maharashtra, India",1.00 - official site and multiple VC profiles found,1.00 - explicitly stated as a VC firm,1.00 - all sectors confirmed by official thesis,1.00 - focuses on Seed to Series A (Early Revenue / Scaling) stages,0.90 - check size stated as $150K-$450K USD,"1.00 - HQ Mumbai, India confirmed",0.98,VALID,https://www.openvc.app/fund/Aperio%20Partners%20; https://www.aperio.partners/,23-10-2025,Swarnim
FundL Ventures,Venture Capital,"Ideation, Validation, Early Traction","CleanTech, ClimateTech, Renewable Energy, EV, AgriTech, Social Impact","Carbon Reduction, Energy Transition, AgriTech Solutions, Climate SaaS, Renewable Infra","Equity Capital, Strategic Consulting (Expact Subsidiary), Operational Support, Network Access (AgriTech, Automotive, Gaming Leaders)",?1.12 Cr – ?12.45 Cr INR,"Tokyo, Japan",1.00 - multiple verified profiles found,1.00 - explicitly confirmed as a VC firm,1.00 - dedicated focus on CleanTech/Social Impact confirmed,1.00 - targets Pre-Seed to Series A (Ideation to Early Revenue) confirmed,0.95 - check size stated as $135K-$1.5M USD,"1.00 - HQ Tokyo, Japan confirmed",0.99,VALID,https://www.openvc.app/fund/FundL%20Ventures; https://beamstart.com/@FUNDL-VENTURES,23-10-2025,Swarnim
10K Ventures,Family Office,"Ideation, Validation, Early Traction","Technology, Fintech, Consumer, AI / Future of Work","Enterprise / B2B SaaS, SaaS, XR / AR, Fintech","SaaS, Marketplace, Enterprise Software",?83 L – ?1.66 Cr INR,"Berlin, Germany",1.00 - multiple confirmed company profiles,1.00 - explicitly stated as Family Office,0.90 - sectors largely confirmed; broader than DeepTech,1.00 - targets earliest stages (Idea to Early Revenue) confirmed,0.90 - check size stated as $100K-$200K USD,"1.00 - HQ Berlin, Germany confirmed",0.98,VALID,https://www.openvc.app/fund/10K%20Ventures; https://www.privateequityinternational.com/institution-profiles/10k%E2%80%AFventures.html,23-10-2025,Swarnim
Accel Partners,Venture Capital,"Early Traction, Scaling","AI, Consumer, Fintech, Manufacturing, Enterprise / B2B","E-commerce, Enterprise / B2B SaaS, HealthTech, SaaS, B2B Marketplaces, Web3 / Blockchain","Equity Investment (Seed/Series A/Growth), Strategic Guidance, Network Access, Talent Acquisition, Operational Support",?8.3 Cr – ?166 Cr INR,"London, United Kingdom",1.00 - globally recognized VC firm,1.00 - explicitly named Venture Capital,"1.00 - broad, tech-centric focus confirmed by all sources",1.00 - early-stage (Seed/Series A) to Growth confirmed,0.85 - typical checks range $1M-$20M USD (â‚¹8.3 Crâ€“â‚¹166 Cr),1.00 - major European HQ in London confirmed,0.98,VALID,https://www.accel.com/; https://sifted.eu/articles/accel-vc-europe-startup-news; https://www.accel.com/noteworthies/accels-200m-series-a-in-lovable---enabling-the-last-99; https://fundcomb.com/funds/accel-partners,23-10-2025,Swarnim
American Family Ventures,Venture Capital,"Prototype, Early Traction, Scaling, Growth","Insurance, Fintech, Analytics, Proptech, Cybersecurity","Insurtech, Risk Management, Adjacent / Enabling Tech, Data Analytics, Mobility, PropTech, Home Services","Equity Investment (Seed to Series B), Carrier Network Access, Strategic Guidance, Value-Add Platform, Co-investment Syndicate",?4.15 Cr – ?83 Cr INR,"Madison, Wisconsin",1.00 - globally recognized CVC/multi-LP firm,1.00 - explicitly named Venture Capital/CVC,1.00 - core thesis (Insurtech & Adjacent/Enabling Tech) confirmed,1.00 - invests Pre-Seed/Seed/Series A/B (Prototype to Growth) confirmed,0.95 - check size stated as $500K-$10M USD,"1.00 - HQ Madison, WI confirmed",0.99,VALID,https://www.amfamventures.com/; https://www.openvc.app/fund/American%20Family%20Ventures; https://foundersuite.com/firms/american-family-ventures,23-10-2025,Swarnim
Amicus Capital Partners,Private Equity / Growth,"Growth, Scaling","Financial Services, Consumer, Healthcare, Technology, Specialty Manufacturing","Insurtech / Fintech, Diagnostics / Healthcare Services, Manufacturing, Consumer / FMCG, Payments & Identity, Home Appliances","Scaling Proven Business Models, Digitalization, Market Access, Operational & Governance Improvements, M&A/IPO Support, ESG Integration, Talent/Team Building",?83 Cr – ?290.5 Cr INR,"Bangalore, Karnataka, India",1.00 - numerous confirmed institutional profiles,1.00 - explicitly identified as a Private Equity / Growth fund,1.00 - five core focus sectors fully confirmed,"1.00 - invests in proven models, targets Series B/C (Scaling/Growth) confirmed",0.90 - stated cheque size is $10M-$35M USD (Fund II initial $12M-$30M),"1.00 - HQ Bangalore, Karnataka confirmed",0.98,VALID,https://www.amicuscapital.in/; https://inc42.com/buzz/amicus-capital-marks-close-of-second-fund-at-214-mn; https://www.eib.org/en/products/equity/funds/amicus-capital-partners-ii,23-10-2025,Swarnim
Amicus Capital Partners,Private Equity / Growth,"Growth, Scaling","Financial Services, Consumer, Healthcare, Technology, Specialty Manufacturing","Insurtech / Fintech, Diagnostics / Healthcare Services, Manufacturing, Consumer / FMCG, Payments & Identity, Home Appliances","Scaling Proven Business Models, Digitalization, Market Access, Operational & Governance Improvements, M&A/IPO Support, ESG Integration, Talent/Team Building",?83 Cr – ?290.5 Cr INR,"Bangalore, Karnataka, India",1.00 - numerous confirmed institutional profiles,1.00 - explicitly identified as a Private Equity / Growth fund,1.00 - five core focus sectors fully confirmed,"1.00 - invests in proven models, targets Series B/C (Scaling/Growth) confirmed",0.90 - stated cheque size is $10M-$35M USD (Fund II initial $12M-$30M),"1.00 - HQ Bangalore, Karnataka confirmed",0.98,VALID,https://www.amicuscapital.in/; https://inc42.com/buzz/amicus-capital-marks-close-of-second-fund-at-214-mn; https://www.eib.org/en/products/equity/funds/amicus-capital-partners-ii,23-10-2025,Swarnim
